TariffID,TariffPremium
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
