TariffID,TariffPremium
5,119.35
3,82.9
5,119.35
5,119.35
4,114.48
3,82.9
3,82.9
3,82.9
3,82.9
5,119.35
3,82.9
5,119.35
3,82.9
3,82.9
5,119.35
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
4,114.48
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
4,114.48
4,114.48
3,82.9
3,82.9
3,82.9
5,119.35
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
4,114.48
3,82.9
4,114.48
3,82.9
5,119.35
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
5,119.35
5,119.35
3,82.9
3,82.9
5,119.35
3,82.9
3,82.9
5,119.35
5,119.35
3,82.9
5,119.35
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
5,119.35
5,119.35
3,82.9
3,82.9
3,82.9
5,119.35
3,82.9
3,82.9
5,119.35
3,82.9
4,114.48
5,119.35
5,119.35
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
3,82.9
5,119.35
5,119.35
3,82.9
5,119.35
3,82.9
4,114.48
3,82.9
3,82.9
