TariffID,TariffPremium,age,gender
1,37.67,18,non-binary
5,119.35,50,male
5,119.35,48,non-binary
5,119.35,45,female
3,82.9,26,non-binary
5,119.35,28,female
5,119.35,44,female
5,119.35,18,female
3,82.9,20,non-binary
3,82.9,25,non-binary
5,119.35,64,female
3,82.9,26,male
4,114.48,52,male
3,82.9,46,non-binary
3,82.9,45,male
1,37.67,19,non-binary
5,119.35,38,female
3,82.9,39,male
3,82.9,54,non-binary
5,119.35,56,non-binary
3,82.9,41,male
5,119.35,22,female
3,82.9,22,non-binary
5,119.35,31,female
3,82.9,40,male
5,119.35,38,female
3,82.9,49,male
5,119.35,25,female
3,82.9,33,male
3,82.9,65,male
5,119.35,64,female
5,119.35,18,female
6,160.33,43,female
1,37.67,19,non-binary
3,82.9,33,male
3,82.9,55,non-binary
3,82.9,61,male
5,119.35,59,non-binary
5,119.35,39,non-binary
5,119.35,51,non-binary
5,119.35,33,female
3,82.9,33,male
5,119.35,42,female
6,160.33,37,female
5,119.35,57,female
3,82.9,41,non-binary
3,82.9,29,non-binary
3,82.9,42,non-binary
5,119.35,23,female
3,82.9,46,male
5,119.35,32,female
5,119.35,50,female
3,82.9,43,male
3,82.9,19,female
3,82.9,44,male
3,82.9,37,male
3,82.9,55,male
3,82.9,53,male
3,82.9,36,non-binary
5,119.35,65,female
3,82.9,36,male
5,119.35,40,non-binary
5,119.35,21,female
3,82.9,65,non-binary
3,82.9,23,non-binary
5,119.35,22,female
5,119.35,57,female
3,82.9,65,non-binary
3,82.9,53,male
5,119.35,40,female
3,82.9,53,male
5,119.35,22,female
5,119.35,51,male
3,82.9,23,non-binary
3,82.9,43,non-binary
5,119.35,36,female
5,119.35,47,female
3,82.9,54,non-binary
3,82.9,55,non-binary
3,82.9,23,non-binary
5,119.35,56,female
5,119.35,34,non-binary
3,82.9,46,non-binary
5,119.35,62,female
5,119.35,38,non-binary
3,82.9,39,male
5,119.35,47,female
5,119.35,48,female
3,82.9,46,non-binary
5,119.35,22,female
1,37.67,20,male
3,82.9,65,non-binary
5,119.35,65,female
3,82.9,31,non-binary
3,82.9,25,non-binary
5,119.35,22,female
3,82.9,62,male
3,82.9,34,male
5,119.35,54,male
5,119.35,39,female
