TariffID,TariffPremium,age,gender
5,119.35,40,male
3,82.9,32,non-binary
5,119.35,64,female
5,119.35,23,female
3,82.9,19,non-binary
5,119.35,59,male
5,119.35,40,non-binary
5,119.35,44,female
1,37.67,19,male
5,119.35,44,female
3,82.9,36,male
5,119.35,31,female
3,82.9,35,male
1,37.67,24,male
4,114.48,43,male
5,119.35,65,female
5,119.35,58,non-binary
5,119.35,58,male
5,119.35,46,female
3,82.9,23,non-binary
5,119.35,57,male
3,82.9,19,female
3,82.9,53,non-binary
3,82.9,31,male
3,82.9,48,non-binary
5,119.35,43,female
5,119.35,65,female
5,119.35,49,male
4,114.48,42,male
3,82.9,28,male
4,114.48,58,male
3,82.9,43,male
3,82.9,49,male
3,82.9,63,non-binary
1,37.67,26,male
3,82.9,63,male
3,82.9,25,non-binary
3,82.9,62,non-binary
5,119.35,24,female
5,119.35,47,non-binary
5,119.35,43,female
3,82.9,34,male
3,82.9,48,male
1,37.67,18,non-binary
4,114.48,61,female
1,37.67,25,male
3,82.9,63,male
5,119.35,59,non-binary
3,82.9,30,male
5,119.35,29,female
3,82.9,29,non-binary
4,114.48,33,male
3,82.9,27,male
5,119.35,54,male
3,82.9,18,female
5,119.35,57,non-binary
5,119.35,53,non-binary
5,119.35,33,female
5,119.35,49,non-binary
5,119.35,51,female
3,82.9,22,non-binary
5,119.35,29,female
5,119.35,33,non-binary
5,119.35,46,non-binary
3,82.9,29,non-binary
5,119.35,58,female
5,119.35,42,non-binary
5,119.35,27,non-binary
5,119.35,51,non-binary
5,119.35,48,female
1,37.67,22,male
6,160.33,35,female
1,37.67,19,non-binary
5,119.35,51,female
5,119.35,39,female
5,119.35,42,non-binary
5,119.35,31,female
5,119.35,49,male
4,114.48,44,male
3,82.9,34,male
3,82.9,26,non-binary
5,119.35,56,non-binary
3,82.9,28,non-binary
5,119.35,31,non-binary
5,119.35,59,female
3,82.9,65,non-binary
5,119.35,57,female
1,37.67,21,male
4,114.48,47,non-binary
5,119.35,64,non-binary
1,37.67,18,male
1,37.67,18,male
3,82.9,43,male
5,119.35,18,female
5,119.35,41,female
4,114.48,41,male
3,82.9,63,non-binary
6,160.33,28,female
5,119.35,65,female
5,119.35,23,female
